2022-04-16 20:41:17,195 DEBUG decos.py Была вызвана функция arg_parser c параметрами () , {}. Вызов из модуля __main__
2022-04-16 20:41:17,698 DEBUG decos.py Была вызвана функция arg_parser c параметрами () , {}. Вызов из модуля __main__
2022-04-16 22:02:44,677 DEBUG decos.py Была вызвана функция arg_parser c параметрами ('7777', '') , {}. Вызов из модуля __main__
2022-04-16 22:02:44,701 INFO server.py Запущен сервер, порт для подключений: 7777 , адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
2022-04-16 22:05:44,134 DEBUG decos.py Была вызвана функция arg_parser c параметрами () , {}. Вызов из модуля __main__
2022-04-16 22:05:58,701 DEBUG decos.py Была вызвана функция arg_parser c параметрами ('7777', '') , {}. Вызов из модуля __main__
2022-04-16 22:05:58,719 INFO server.py Запущен сервер, порт для подключений: 7777 , адрес с которого принимаются подключения: . Если адрес не указан, принимаются соединения с любых адресов.
2022-04-16 22:06:10,119 DEBUG decos.py Была вызвана функция arg_parser c параметрами () , {}. Вызов из модуля __main__
2022-04-16 22:06:15,847 DEBUG decos.py Была вызвана функция create_presence c параметрами ('cli3',) , {}. Вызов из модуля __main__
2022-04-16 22:06:21,893 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:23,896 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:25,897 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:27,899 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:29,901 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:31,903 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:33,905 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:35,908 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:37,910 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:39,912 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:41,714 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>, {'action': 'add', 'time': 1650121601.7139053, 'user': 'cli3', 'account_name': 'cli3'}) , {}. Вызов из модуля common.utils
2022-04-16 22:06:41,714 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:41,918 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=25, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37742)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:41,919 DEBUG server.py Разбор сообщения от клиента : {'action': 'add', 'time': 1650121601.7139053, 'user': 'cli3', 'account_name': 'cli3'}
2022-04-16 22:06:41,936 DEBUG decos.py Была вызвана функция send_message c параметрами (<socket.socket fd=25, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 37742)>, {'response': 200}) , {}. Вызов из модуля common.utils
2022-04-16 22:06:41,937 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:43,939 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:45,941 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:47,943 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:49,945 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:51,948 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:53,950 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:55,953 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:57,956 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:06:59,958 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:07:01,961 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:07:03,963 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:07:05,965 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:07:07,968 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:07:09,970 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
2022-04-16 22:07:11,973 DEBUG decos.py Была вызвана функция get_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 37742), raddr=('127.0.0.1', 7777)>,) , {}. Вызов из модуля common.utils
